title,rating,description,air_date
S2.E17 ∙ The One Where Eddie Moves In,8.1/10 (5.3K),"Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment.","Thu, Feb 22, 1996"
S2.E18 ∙ The One Where Dr. Ramoray Dies,8.3/10 (5.3K),"Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica.","Thu, Mar 21, 1996"
S2.E19 ∙ The One Where Eddie Won't Go,8.4/10 (5.4K),"Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want.","Thu, Mar 28, 1996"
S2.E20 ∙ The One Where Old Yeller Dies,8.0/10 (5.1K),Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.,"Thu, Apr 4, 1996"
S2.E21 ∙ The One with the Bullies,8.0/10 (5.2K),Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.,"Thu, Apr 25, 1996"
S2.E22 ∙ The One with the Two Parties,8.9/10 (6.5K),"Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting.","Thu, May 2, 1996"
S2.E23 ∙ The One with the Chicken Pox,7.9/10 (5.2K),Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.,"Thu, May 9, 1996"
S2.E24 ∙ The One with Barry and Mindy's Wedding,8.1/10 (5.2K),Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.,"Thu, May 16, 1996"
S3.E1 ∙ The One with the Princess Leia Fantasy,8.3/10 (5.4K),Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.,"Thu, Sep 19, 1996"
S3.E2 ∙ The One Where No One's Ready,8.9/10 (7.3K),"A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space.","Thu, Sep 26, 1996"
S3.E3 ∙ The One with the Jam,7.9/10 (5.2K),Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.,"Thu, Oct 3, 1996"
S3.E4 ∙ The One with the Metaphorical Tunnel,7.9/10 (5K),Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.,"Thu, Oct 10, 1996"
S3.E5 ∙ The One with Frank Jr.,8.0/10 (5.1K),Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.,"Thu, Oct 17, 1996"
S3.E6 ∙ The One with the Flashback,9.0/10 (6.6K),"The gang remember the events three years ago, when several of them almost slept together.","Thu, Oct 31, 1996"
